id,h_mean,v_mean,s_mean,h_std,v_std,s_std,contrast,dissimilarity,homogeneity,asm,correlation,entropy,intensity_mean,intensity_std
1784,7.9469485,59.465218,110.6583,45.505806,28.783209,55.72939,0.46225806451612905,0.35270967741935483,0.8338097033772935,0.05672132362122788,0.9706282381464103,7.2890377,95.68191,44.609344
1449,8.377274,121.71847,83.013695,25.219599,61.168644,38.484993,0.5484516129032257,0.38535483870967735,0.8229098446863151,0.06973050156087407,0.9429789036944833,6.9705753,65.23202,35.018166
2185,169.72655,24.75008,219.56326,84.891396,33.0474,39.819885,1.3869032258064518,0.6190322580645161,0.7577917516898639,0.15478679708636836,0.9078088027737913,6.380541,210.0203,45.322174
1943,160.02306,93.65632,207.96404,108.83647,42.734715,54.67975,0.9163870967741936,0.5214193548387096,0.7761932047008329,0.045777777315296565,0.9583652026883871,7.5402946,169.54913,52.87861
1861,5.0242853,16.304384,172.7947,48.523476,53.230854,80.34538,5.522516129032258,1.3198064516129033,0.6102192777234732,0.05617875962539022,0.8863405835101078,7.3442597,172.29272,80.555786
1833,174.71349,40.492607,200.85933,50.523865,78.25517,78.313965,4.2375483870967745,0.9215483870967741,0.7542548696093576,0.28058033714880326,0.9326879610245248,5.321443,189.51155,92.14257
336,16.446785,75.02829,160.0969,43.426003,41.865074,46.237053,0.6230322580645161,0.4563225806451613,0.7881813008162153,0.045180162330905306,0.9602298154429824,7.4047213,139.4452,44.664867
1068,15.602456,97.65651,160.57056,42.452667,65.58259,47.30654,0.8664516129032258,0.376,0.8552520291770388,0.07564383975026015,0.953739906374913,6.8174496,139.69382,50.12481
669,162.49194,101.904,40.056385,84.09491,99.07285,47.974678,0.029935483870967745,0.029935483870967745,0.9850322580645161,0.3581057856399585,0.9956886751774072,4.6698475,23.971397,31.922192
522,0.0,0.0,203.98099,-0.0,0.0,58.518166,1.5576774193548388,0.6650322580645163,0.7453978458778904,0.14771393756503645,0.9387845830902055,6.6326585,203.98099,58.518166
1662,13.213752,66.4103,165.2107,94.23336,67.28546,79.63981,3.7883225806451613,1.1119354838709676,0.6283935078882651,0.028625221644120707,0.9236223637359853,7.7037563,151.40463,79.838936
1602,0.0,0.0,192.62463,-0.0,0.0,58.996185,1.1710967741935485,0.6135483870967742,0.7448342436495757,0.07123768574401665,0.9553851712970314,7.1916113,192.62463,58.996185
1520,179.79337,0.213504,207.46931,3.0069094,3.698041,67.598434,1.7190967741935483,0.64,0.7672977891455228,0.18349188345473466,0.9498553146751928,6.2139955,207.40387,67.6111
1500,26.811823,151.325,189.55328,11.036224,41.642506,51.61348,2.572258064516129,0.680258064516129,0.7904339113915015,0.07191290738813737,0.876344421087762,7.3293977,170.4543,51.371437
802,2.9309063,5.624704,241.3794,47.02005,7.232209,24.940012,1.472,0.5714838709677419,0.7894350185805915,0.3649103496357961,0.6864980974586433,4.9054976,238.60979,26.119244
275,30.012774,46.40448,180.63661,46.49813,37.902954,48.035755,3.2769032258064517,1.2603870967741937,0.539692336557982,0.01956719250780437,0.8204795457339247,7.462982,170.93306,48.29782
1091,115.49271,45.222656,128.08954,58.157,31.527853,51.198803,1.345032258064516,0.6718709677419354,0.7242281000526607,0.04103146305931321,0.9237169175451099,7.453885,114.20001,47.21657
1487,0.0,0.0,197.7714,-0.0,0.0,70.97201,5.768451612903226,1.3448387096774195,0.6274551991033241,0.14117553590010407,0.8474849263415795,6.699338,197.7714,70.97201
1259,110.98883,137.66573,152.51596,37.896866,75.05408,67.703,1.6791612903225808,0.7551612903225807,0.7029135797891016,0.025143766909469303,0.9519796332752248,7.8388143,106.57194,66.83681
1215,166.8791,74.30183,47.69216,56.06365,71.51835,45.025192,0.4372903225806452,0.30864516129032266,0.8583391037804703,0.18711639750260148,0.9586996327359958,6.114448,36.74038,36.35294
343,0.0,0.0,183.58669,-0.0,0.0,86.82935,5.570064516129032,1.2123870967741937,0.6857116022241144,0.20517783766909473,0.900734839022326,6.1707177,183.58669,86.82935
1625,108.47738,174.9703,183.96057,65.695694,79.52939,72.67653,2.1643870967741945,0.6152258064516132,0.8008611768306879,0.19079354838709686,0.9120256414377546,5.830706,101.825264,56.83158
2184,124.00533,43.932034,89.429886,39.725883,56.82988,45.125694,0.9183225806451615,0.5336774193548387,0.7698073463333427,0.07231463683662853,0.9412501247869323,7.1050305,83.34319,44.680004
1265,177.9762,88.029884,210.42752,42.441277,78.8147,51.08966,2.640709677419355,0.9169677419354838,0.6791413776544682,0.057304965660770035,0.9318165038546384,7.3354387,170.64111,70.80533
1525,8.977244,108.13376,148.71175,32.03299,59.27233,39.43996,0.2627741935483871,0.24032258064516127,0.8820747628083492,0.07994870967741935,0.9791166629052055,7.2556124,117.87779,39.78983
1997,0.0,0.0,199.6935,-0.0,0.0,65.09531,2.3830967741935485,0.8376774193548389,0.7061846291078333,0.12582858688865764,0.9242585296085586,6.5043783,199.6935,65.09531
1721,18.665974,124.88934,126.891136,26.893805,66.31868,78.96593,1.1556774193548387,0.589741935483871,0.7566334069991755,0.04912300312174818,0.9741728068560731,7.5022936,107.41816,76.314674
390,15.01479,117.42106,161.45818,19.53928,41.577164,58.351147,0.7727096774193548,0.4075483870967742,0.8283634898831104,0.049945334027055144,0.9566566294688708,7.4713745,131.79872,47.449192
1523,23.46677,37.768703,150.12672,88.10697,36.47942,63.887154,3.466903225806452,0.917483870967742,0.7099592193108892,0.03943565660770031,0.8896676726355467,7.5991907,144.47787,63.588913
685,1.4483143,49.945663,187.03859,56.090115,18.486311,74.373474,2.170451612903226,0.6767741935483871,0.7750104022491822,0.19616527367325703,0.9356950912603849,5.9431324,166.95616,66.178856
1337,107.19124,150.64026,70.38285,39.734753,72.34849,62.429096,0.8578064516129033,0.4192258064516129,0.8267470506930312,0.11994227055150886,0.9662918856736169,6.895673,52.44364,57.212563
1704,57.427288,135.02919,76.23328,53.730995,62.382626,38.97512,0.5510967741935482,0.37496774193548377,0.8295754701424528,0.1851350156087408,0.9389247132462447,5.988905,58.379192,34.02721
1280,12.013019,25.931135,155.73741,58.816628,14.897821,26.84227,0.09309677419354838,0.09193548387096773,0.9541483870967742,0.15645955879292403,0.9821781925566554,6.594958,149.55501,25.643343
2145,2.8441455,12.358912,239.09805,29.7931,33.95072,34.87112,0.9601290322580646,0.2859354838709678,0.9076722835341692,0.6296329843912594,0.9241076628407059,3.527632,235.56822,42.453568
1437,93.816376,77.43162,57.761665,26.003197,45.07592,35.16822,0.4546451612903226,0.32638709677419353,0.8490597127268853,0.09255951300728409,0.9531328323432909,6.8358097,52.603374,35.057953
2004,15.209285,68.06829,151.3017,38.069294,56.60767,66.82826,3.3688387096774193,1.173225806451613,0.5892371860563594,0.044635130072840784,0.9116190811646898,7.2583523,133.45168,71.46507
903,0.0,0.0,139.3266,-0.0,0.0,113.61456,1.9859354838709677,0.5914838709677419,0.8145573778407023,0.2475465639958377,0.9787749937345147,5.3626175,139.3266,113.61456
2178,23.358894,42.565567,217.12102,62.183826,18.8233,29.066624,0.9881935483870967,0.47954838709677416,0.8048800254056422,0.13542911966701351,0.8492226075980417,6.544031,203.35162,28.841442
1243,172.89783,38.530113,150.42554,67.439735,49.03766,79.29377,3.9415483870967742,1.0225806451612904,0.6911047247867469,0.06174014568158169,0.9191069193686332,7.171878,144.65817,80.43287
807,98.313736,45.773697,84.26317,73.539055,37.188065,60.410725,1.6603225806451614,0.7231612903225806,0.715383282605677,0.05302444328824142,0.9400241891443601,7.3244295,79.06475,59.303272
698,21.551504,83.38771,93.03847,30.241354,55.10768,59.537277,0.3950967741935484,0.33716129032258063,0.8371855787476281,0.06741160249739853,0.9721099731875834,7.2353663,77.21459,42.33866
906,2.4233544,108.357056,158.10625,33.343163,103.70854,82.02277,2.6392258064516128,0.6156129032258064,0.8157040262048649,0.0720400353798127,0.9585669518600509,7.3183384,129.46191,92.019196
2075,0.0,0.0,221.18439,-0.0,0.0,65.68698,0.9041935483870969,0.3441935483870968,0.8722494848102569,0.35289527575442264,0.9709628737639832,4.4514804,221.18439,65.68698
1502,23.25417,93.721405,217.31738,24.13685,39.712982,47.993244,1.4196774193548387,0.5888387096774194,0.7776954171065876,0.14695641831425596,0.9208749810155716,6.740537,198.94685,47.749825
1799,8.011516,60.457474,215.00243,50.630997,70.11402,56.649673,2.76458064516129,0.8256129032258065,0.7283752689681567,0.14273593340270552,0.9194380643397574,6.7360744,197.0753,65.68567
1967,122.55519,146.02599,167.9001,85.796005,64.12465,89.42307,2.8958709677419354,0.7294193548387096,0.7812528613133697,0.11745555671175859,0.9015191275698989,6.128172,113.574905,62.962307
454,5.2428117,50.83731,179.67007,55.888382,47.915337,48.583042,0.7874838709677421,0.4627096774193548,0.7995571133825404,0.07137332570239333,0.9563002188569244,7.1996484,164.16248,47.747917
873,0.0,0.0,179.19373,-0.0,0.0,78.17553,1.7893548387096774,0.7262580645161291,0.7317866880747336,0.08480750052029136,0.9617628213899853,7.2705836,179.19373,78.17553
1385,14.621023,76.37965,157.80275,23.211018,40.35596,51.827915,0.9381290322580645,0.485741935483871,0.7964212518985194,0.049835103017689904,0.954676347301752,7.4999533,140.46384,51.217728
1653,0.0,0.0,237.32794,-0.0,0.0,19.048365,0.7374193548387099,0.4547096774193549,0.7992481561579097,0.25944926742976077,0.705552729555365,5.488083,237.32794,19.048365
418,60.817352,89.334595,146.06804,101.23207,32.650078,61.69921,1.0568387096774194,0.43141935483870963,0.8385189304382472,0.08963088033298647,0.9597515294632605,6.6256404,118.500854,58.37218
1248,24.011803,45.779137,98.52768,73.83298,24.085152,31.020967,0.9972903225806451,0.5227096774193548,0.7808413001061199,0.08211221436004162,0.8753571240086565,6.7138376,91.42772,31.708586
1305,90.417366,87.239296,65.86375,59.432037,41.809967,49.455173,1.0410322580645162,0.5983225806451612,0.7420054405945867,0.0797327117585848,0.9361459342328059,6.987505,55.724583,45.252644
1725,0.0,0.0,172.77626,-0.0,0.0,77.820404,2.7074838709677422,0.9892903225806452,0.6418531410382033,0.03827118834547346,0.9406417959412923,7.354293,172.77626,77.82041
1423,13.430846,54.683647,146.03392,26.89308,61.915714,38.70063,0.40812903225806446,0.2994838709677419,0.8609148445482411,0.09787170239334027,0.9760616151823372,6.970713,132.4451,45.884666
213,24.108442,30.321983,191.16103,100.805244,22.52359,40.24642,1.3494193548387097,0.5416774193548387,0.7929360077307497,0.07779455359001039,0.9066282064820521,7.088906,181.48361,42.609882
1539,56.438087,117.97031,135.50989,93.06093,60.504623,59.152275,1.354,0.6799354838709677,0.7186027445867961,0.03420508844953174,0.9448950906903854,7.479518,111.682434,56.48783
1145,92.731415,129.91367,86.8713,54.88051,71.76948,53.080963,3.154258064516129,1.1521935483870969,0.588488361681268,0.029193789802289278,0.8398472113859896,7.4185076,71.84727,50.018475
1054,179.42717,1.778688,240.61908,22.20559,10.117578,39.989384,0.7362580645161291,0.27161290322580645,0.9042113377017361,0.6738229302809573,0.938855052150903,2.8684175,240.16301,41.047882
1488,176.50679,86.1913,152.97415,59.581688,85.218895,86.878296,1.165741935483871,0.5183870967741935,0.7952595116825132,0.07384754422476587,0.9820477647150507,7.2651978,130.16722,92.51938
